col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
4237,-1.0,0.967,0.933,15.72693,0.967,15.72693,0.929,0.999,0.858,0.994,0.809,1.034,0.771,1.334,13,0.917342,0.9273,0.994,0.9354
4238,-1.0,0.308,0.319,9.676682,0.308,9.676682,0.32,1.0,0.291,0.35,0.278,0.378,0.239,0.404,13,0.170795,0.3197,1.0,0.298
4239,-1.0,1.449,1.771,18.7263,1.424,18.76291,1.542,0.881,1.351,1.819,1.145,2.313,0.506,2.44,13,4.55415,1.5411,0.999,1.3939
4240,-1.0,0.403,0.385,51.53636,0.403,51.53636,0.39,1.0,0.328,0.454,0.295,0.505,0.223,0.532,13,1.6082,0.3902,0.997,0.4944
4241,-1.0,2.109,2.101,87.24541,2.048,87.51317,2.057,1.0,1.94,2.172,1.794,2.266,1.695,2.363,10,8.346,2.0564,0.999,2.0346
4242,-1.0,1.353,1.32,13.40511,1.33,13.43799,1.313,1.0,1.222,1.402,1.131,1.47,1.022,1.553,13,0.721277,1.3128,0.999,1.425
4243,-1.0,0.105,1.238,3.289047,1.195,4.116998,0.94,0.549,0.39,1.374,0.136,2.507,0.037,3.604,13,2.89045,0.9336,0.998,0.1695
4244,-1.0,0.948,0.981,9.317105,0.948,9.317105,0.968,1.0,0.917,1.026,0.888,1.084,0.864,1.136,13,0.264126,0.9683,0.999,1.0094
4245,-1.0,1.843,1.803,16.80574,1.787,16.94998,1.758,1.0,1.586,1.924,1.458,2.032,1.357,2.172,13,1.41147,1.7582,0.999,1.5881
4246,-1.0,1.239,1.26,7.525779,1.217,7.596003,1.242,1.0,1.144,1.35,1.042,1.439,0.884,1.506,13,0.468453,1.2423,1.0,1.1314
4247,-1.0,2.61,2.673,28.47252,2.61,28.47252,2.473,0.941,1.868,2.809,1.691,3.121,1.508,3.419,13,7.31469,2.4718,0.998,1.9386
4248,-1.0,0.596,0.596,1416.975,0.596,1416.975,0.596,1.0,0.578,0.615,0.573,0.62,0.563,0.62,13,8.14858,0.596,0.501,0.6064
4249,-1.0,2.048,2.162,4.239254,2.018,4.278542,2.059,0.994,1.838,2.272,1.68,2.552,1.548,2.897,13,0.574976,2.0569,0.998,2.3295
4250,-1.0,1.307,1.18,6.879643,1.284,6.925163,1.109,0.852,0.776,1.389,0.451,1.622,0.357,2.37,13,1.85589,1.1075,0.999,0.612
4251,-1.0,0.489,0.753,23.42418,0.489,23.42418,0.786,0.57,0.386,1.242,0.307,1.385,0.215,1.48,13,6.12643,0.785,0.999,1.4306
4252,-1.0,2.235,1.54,14.87939,1.498,14.91821,1.404,0.496,0.555,2.129,0.171,2.573,0.045,2.916,13,8.85056,1.4025,0.999,2.5918
4253,-1.0,0.781,0.802,8.649342,0.781,8.649342,0.806,0.985,0.672,0.952,0.466,1.076,0.117,1.16,13,1.06404,0.8087,0.995,0.6796
4254,-1.0,1.284,1.244,20.79488,1.284,20.79488,1.238,1.0,1.164,1.31,1.097,1.341,1.032,1.374,13,0.754173,1.2377,0.998,1.293
4255,-1.0,1.473,1.447,23.665,1.449,23.67408,1.436,0.997,1.336,1.541,1.191,1.648,0.903,1.866,13,2.30551,1.4354,0.999,1.4275
4256,-1.0,1.473,1.474,4.955284,1.424,5.069398,1.429,0.999,1.325,1.532,1.225,1.628,1.131,1.79,8,0.668393,1.428,0.998,1.408
4257,-1.0,0.295,0.295,26.33853,0.295,26.33853,0.295,1.0,0.277,0.313,0.254,0.331,0.232,0.353,13,0.319047,0.2948,0.999,0.3329
4258,-1.0,0.403,0.376,62.46298,0.403,62.46298,0.375,1.0,0.341,0.41,0.311,0.423,0.291,0.438,13,0.925748,0.375,1.0,0.3699
