id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,HAWKIY,eHAWKIY,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
759,53.694313,-29.457338,2606.81,1947.67,239.617,0,0.98,1.784,1,157.945,0.897,1.796,0.105,9.3,0.083,29.395,0.148,49.155,0.115,107.744,0.229,119.406,0.478,144.621,0.199,-999.0,9999.0,65.298,4.659,42.212,4.186,53.819,4.935,7.334,4.384
760,53.741516,-29.457218,1866.97,1950.12,21.049,0,0.03,2.366,0,13.106,1.166,1.392,0.061,1.446,0.052,1.718,0.086,2.294,0.058,5.143,0.132,6.334,0.282,7.181,0.252,9.206,0.436,14.561,1.548,10.046,1.849,19.27,3.585,6.038,3.675
761,53.771,-29.457445,1404.91,1946.09,20.484,0,0.0,2.667,0,12.013,0.908,1.442,0.061,1.781,0.052,3.048,0.086,4.615,0.058,6.143,0.132,6.822,0.283,7.245,0.2,8.868,0.426,6.224,1.089,4.817,1.313,2.08,4.227,9.799,4.11
762,53.670971,-29.45742,2972.65,1945.93,57.112,0,0.02,3.241,1,29.515,1.228,1.731,0.105,2.71,0.117,4.548,0.148,7.136,0.198,11.306,0.32,12.422,0.681,15.093,0.259,-999.0,9999.0,20.342,2.342,15.911,2.647,4.564,3.567,8.815,3.914
763,53.717587,-29.457359,2242.01,1947.49,4.678,0,0.59,1.658,0,3.312,0.887,0.457,0.074,0.541,0.058,0.428,0.104,0.64,0.068,0.969,0.145,0.944,0.314,1.59,0.201,2.354,0.442,6.345,1.515,8.061,1.998,2.162,5.281,-11.767,5.167
764,53.792946,-29.457489,1060.94,1945.26,28.238,0,0.97,1.684,0,19.198,0.911,0.356,0.061,1.644,0.052,5.178,0.086,9.44,0.059,16.604,0.145,18.459,0.283,20.88,0.2,24.732,0.437,7.009,1.278,3.907,1.397,0.888,4.581,-25.749,4.351
765,53.788933,-29.457491,1123.82,1945.23,15.733,0,0.0,3.058,0,9.289,0.926,1.661,0.061,2.422,0.052,4.547,0.086,5.518,0.058,6.855,0.132,7.03,0.282,7.451,0.201,8.091,0.434,4.395,0.923,2.019,0.991,-18.001,3.992,14.769,3.437
766,53.757027,-29.457594,1623.89,1943.42,20.315,0,0.52,2.186,0,12.779,0.912,1.632,0.062,2.065,0.052,3.769,0.085,6.158,0.058,8.005,0.132,8.623,0.282,8.861,0.201,10.801,0.43,6.805,0.926,5.055,1.086,10.061,4.341,6.253,4.25
767,53.768993,-29.457689,1436.37,1941.68,25.005,0,0.0,3.346,0,12.895,0.924,0.811,0.061,1.052,0.052,1.543,0.086,2.99,0.058,5.211,0.132,5.973,0.282,6.969,0.202,8.818,0.439,9.425,1.219,5.926,1.378,-6.07,4.252,4.594,4.16
768,53.712246,-29.457598,2325.76,1943.15,17.648,0,0.9,1.948,0,11.611,0.909,0.246,0.075,0.816,0.081,2.557,0.104,4.525,0.068,8.554,0.185,8.937,0.346,10.888,0.2,13.205,0.745,4.183,1.134,3.065,1.052,4.085,4.364,2.622,4.273
769,53.775417,-29.457834,1335.67,1939.08,61.208,0,0.42,2.051,0,39.619,0.929,0.851,0.061,1.239,0.052,2.437,0.086,4.502,0.058,10.137,0.132,11.05,0.283,14.29,0.206,21.201,0.435,34.273,2.65,21.842,2.929,22.62,4.511,0.876,4.51
770,53.670063,-29.45776,2986.89,1939.82,8.994,0,0.52,1.913,1,6.395,1.349,0.972,0.105,1.2,0.116,1.422,0.148,1.263,0.198,3.107,0.32,3.004,0.681,3.777,0.266,-999.0,9999.0,7.021,1.166,5.274,1.338,-8.361,2.467,-6.095,2.708
771,53.725193,-29.457848,2122.83,1938.74,17.978,0,0.7,4.148,0,7.583,0.922,0.494,0.075,0.571,0.058,0.797,0.104,0.922,0.068,2.299,0.159,2.451,0.308,3.024,0.206,4.585,0.425,5.844,1.067,3.79,1.135,6.202,3.39,10.277,3.807
772,53.715874,-29.457981,2268.87,1936.28,12.826,0,0.08,2.236,0,7.805,0.919,0.07,0.075,0.001,0.068,0.141,0.105,0.329,0.068,1.043,0.161,1.525,0.347,2.142,0.208,3.813,0.528,11.61,1.878,8.42,1.88,-7.804,4.622,1.612,4.524
