id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2
2614,316.424988,-58.694317,2380.61,2342.0,16.744,1,0.98,10.416,1,-999.0,9999.0,0.034,0.145,0.111,0.123,0.062,0.141,0.013,0.16,0.39,0.381,0.02,0.783,-0.247,1.321,0.003,1.603,-999.0,9999.0,13.195,1.875
2615,316.54184,-58.69495,1287.94,2331.15,21.084,0,0.03,1.968,0,16.557,1.241,0.534,0.083,0.628,0.055,1.193,0.082,1.654,0.092,4.024,0.156,5.262,0.294,7.296,0.536,9.228,0.749,18.364,4.056,15.209,3.274
2616,316.435638,-58.694702,2281.12,2335.15,52.796,0,0.88,1.983,1,39.255,1.803,0.648,0.145,0.868,0.098,1.223,0.142,1.799,0.161,4.576,0.309,7.834,0.757,16.727,0.684,22.068,0.878,48.903,11.122,34.78,4.223
2617,316.621094,-58.694656,546.6,2335.78,3.391,0,0.79,1.109,1,3.853,1.179,0.003,0.102,0.118,0.071,0.48,0.1,0.919,0.112,2.137,0.191,2.822,0.384,1.401,0.64,3.844,0.869,-999.0,9999.0,-999.0,9999.0
2618,316.424988,-58.695,2380.76,2329.66,18.629,1,0.99,8.646,1,-999.0,9999.0,0.15,0.145,0.07,0.123,0.168,0.142,0.293,0.161,0.496,0.382,0.662,0.785,0.374,1.324,0.293,1.534,-999.0,9999.0,4.249,0.908
2619,316.65625,-58.71312,218.3,2002.86,320.068,0,0.98,1.295,1,260.238,0.761,0.82,0.145,3.788,0.088,15.459,0.142,32.847,0.16,126.424,0.272,162.189,0.552,223.676,0.364,267.943,0.505,-999.0,9999.0,-999.0,9999.0
2620,316.607117,-58.712204,677.84,2020.09,16.485,0,0.0,4.365,1,7.389,0.759,0.713,0.102,0.889,0.071,0.941,0.1,1.249,0.112,1.663,0.191,1.802,0.384,3.281,0.527,4.676,0.757,-999.0,9999.0,-999.0,9999.0
2621,316.547272,-58.694572,1236.9,2337.97,8.679,0,0.9,1.698,0,7.343,1.421,0.146,0.083,0.416,0.055,0.89,0.082,1.811,0.092,3.095,0.156,3.702,0.293,4.16,0.546,5.068,0.761,9.093,2.99,6.697,2.319
2622,316.511932,-58.69701,1567.45,2294.14,74.606,0,0.98,1.273,0,61.632,1.046,1.344,0.097,6.804,0.055,18.619,0.082,30.43,0.094,47.45,0.156,53.29,0.3,60.513,0.445,65.712,0.643,16.766,3.237,10.125,3.594
2623,316.476257,-58.695568,1901.17,2319.92,565.164,0,0.98,1.302,0,458.835,1.136,2.758,0.102,14.393,0.062,53.267,0.1,101.208,0.113,272.479,0.171,329.834,0.317,408.553,0.5,461.091,0.722,155.634,12.058,123.158,22.224
2624,316.642914,-58.712124,343.08,2021.01,2.795,0,0.63,1.407,1,2.794,0.759,0.188,0.144,0.219,0.088,0.641,0.142,0.713,0.123,1.522,0.222,2.147,0.449,1.798,0.364,1.737,0.507,-999.0,9999.0,-999.0,9999.0
2625,316.65448,-58.712223,235.0,2018.98,2.447,0,0.01,1.393,1,2.118,0.765,0.372,0.144,0.356,0.093,0.245,0.142,0.719,0.159,1.068,0.271,1.134,0.551,1.155,0.364,1.743,0.506,-999.0,9999.0,-999.0,9999.0
2626,316.443909,-58.702316,2203.62,2198.2,5.599,0,0.64,1.96,1,5.076,1.269,0.52,0.102,0.982,0.071,2.021,0.1,2.158,0.113,2.441,0.191,2.389,0.347,2.647,0.368,2.576,0.56,0.588,1.387,-999.0,9999.0
2627,316.671936,-58.695137,71.15,2326.19,8.118,0,0.94,1.631,1,6.927,1.435,-999.0,9999.0,1.343,0.126,-999.0,9999.0,-999.0,9999.0,3.733,0.384,5.619,0.785,6.484,0.546,5.981,0.76,-999.0,9999.0,-999.0,9999.0
2628,316.670654,-58.695805,83.1,2314.19,17.614,0,0.96,1.465,1,14.002,1.361,-999.0,9999.0,1.952,0.125,-999.0,9999.0,7.838,0.276,11.15,0.383,10.981,0.71,13.135,0.507,15.71,0.727,-999.0,9999.0,-999.0,9999.0
2629,316.544067,-58.697136,1267.03,2291.81,10.44,0,0.96,1.785,0,8.707,1.224,0.02,0.085,0.068,0.055,0.129,0.082,0.695,0.092,2.105,0.156,2.888,0.293,3.044,0.442,4.148,0.641,2.711,1.637,4.393,2.108
2630,316.563538,-58.695023,1085.03,2329.77,24.355,0,0.96,1.248,0,20.72,1.336,0.133,0.083,0.33,0.055,1.33,0.082,2.694,0.092,11.824,0.156,15.455,0.293,20.862,0.532,23.489,0.759,6.355,3.27,6.496,3.995
2631,316.557526,-58.694988,1141.08,2330.43,90.451,0,0.05,2.416,0,64.406,1.321,0.256,0.083,0.313,0.055,0.859,0.082,2.344,0.092,9.48,0.156,14.001,0.293,20.193,0.534,28.374,0.762,62.359,8.822,40.406,8.313
2632,316.580231,-58.695534,928.66,2320.43,139.221,0,0.04,2.767,1,86.678,1.199,0.558,0.083,0.758,0.055,1.402,0.082,2.992,0.092,9.688,0.156,15.968,0.293,26.076,0.501,36.524,0.708,107.98,15.343,79.322,16.424
2633,316.53775,-58.712238,1326.26,2019.99,2.678,0,0.24,1.277,0,2.457,0.751,0.176,0.083,0.223,0.055,0.137,0.082,0.413,0.092,0.683,0.156,1.338,0.293,1.231,0.364,1.431,0.51,2.56,0.909,2.429,1.196
2634,316.43103,-58.695122,2324.3,2327.53,44.263,0,0.63,2.48,1,29.788,1.998,0.705,0.145,0.663,0.124,1.385,0.142,1.867,0.161,5.807,0.383,7.382,0.786,7.32,0.777,12.646,0.972,38.974,9.842,28.087,3.883
2635,316.637756,-58.697861,390.77,2277.83,141440.266,4,1.0,1.706,1,104824.273,1.072,5009.371,0.144,1624.83,0.088,2120.687,0.142,1202.88,0.123,2071.166,0.222,5056.042,0.449,21015.547,0.429,19297.225,0.636,-999.0,9999.0,-999.0,9999.0
