id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,DECamz,eDECamz,FOURSTARJ1,eFOURSTARJ1,HAWKIJ,eHAWKIJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1641,8.913769,-43.184475,2069.21,1902.2,4.083,0,0.0,2.0,0,2.32,0.391,0.452,0.083,0.638,0.057,0.811,0.091,0.701,0.078,0.777,0.127,0.792,0.133,1.039,0.424,1.303,0.189,1.255,0.298,0.71,0.34,1.228,1.549,-7.252,1.92
1642,8.864055,-43.184448,2721.7,1902.18,10.482,0,0.98,1.109,1,6.495,0.518,-0.038,0.101,0.272,0.074,0.808,0.112,1.858,0.118,4.682,0.178,5.989,0.144,-999.0,9999.0,7.843,0.27,2.26,0.314,1.796,0.359,0.989,1.62,4.258,2.005
1643,8.878413,-43.184414,2533.25,1902.94,2.197,0,0.57,1.356,1,0.925,0.519,0.226,0.096,0.324,0.074,0.406,0.113,0.57,0.096,0.948,0.155,1.206,0.133,-999.0,9999.0,1.338,0.267,1.268,0.195,0.983,0.226,-0.348,0.96,-0.442,1.165
1644,9.041925,-43.184441,387.19,1902.39,5.546,0,0.86,1.361,0,2.816,0.597,0.785,0.166,0.861,0.09,1.081,0.158,0.434,0.104,1.746,0.182,2.222,0.141,3.144,0.424,2.49,0.267,5.595,0.514,3.683,0.595,-5.053,2.572,-10.863,3.211
1645,8.924721,-43.184727,1925.47,1897.73,72.606,0,0.03,2.938,0,32.454,0.412,1.955,0.083,2.634,0.057,5.058,0.092,9.138,0.078,13.24,0.128,15.669,0.166,18.153,0.425,20.471,0.197,16.809,0.274,13.363,0.315,6.665,1.395,9.283,1.777
1646,8.995372,-43.184521,998.19,1901.39,4.834,0,0.53,1.236,0,3.456,0.414,0.363,0.083,0.536,0.057,0.738,0.092,0.977,0.078,1.107,0.127,1.224,0.137,1.594,0.432,2.219,0.2,3.137,0.351,2.587,0.403,5.497,1.829,7.138,2.273
1647,8.852177,-43.184525,2877.6,1900.61,6.658,0,0.96,1.057,1,4.298,0.659,0.03,0.165,0.087,0.09,0.199,0.161,0.723,0.137,2.705,0.217,3.587,0.137,-999.0,9999.0,5.143,0.356,1.689,0.433,1.648,0.407,3.13,3.782,7.559,2.835
1648,8.876136,-43.184578,2563.13,1900.0,4.984,0,0.14,1.378,1,3.021,0.521,0.157,0.096,0.345,0.074,0.397,0.113,0.645,0.096,1.305,0.155,1.307,0.133,-999.0,9999.0,1.763,0.268,2.037,0.34,1.572,0.388,3.416,1.732,1.003,2.204
1649,8.911222,-43.184525,2102.65,1901.32,1.162,0,0.0,1.273,0,0.521,0.392,-0.07,0.083,0.094,0.057,0.347,0.092,0.405,0.078,0.55,0.128,0.236,0.133,-0.173,0.424,0.485,0.19,-1.112,1.26,-1.208,1.436,-19.073,6.409,-13.45,8.14
1650,8.881048,-43.184608,2498.66,1899.5,1.927,0,0.0,1.498,1,0.85,0.52,0.125,0.096,0.041,0.074,0.081,0.113,0.19,0.096,0.192,0.155,0.234,0.13,-999.0,9999.0,0.688,0.268,2.209,0.576,2.016,0.645,-2.743,2.751,10.711,3.312
1651,8.919009,-43.184666,2000.43,1898.81,4.011,0,0.09,1.376,0,2.828,0.394,0.306,0.094,0.285,0.057,0.325,0.092,0.52,0.078,0.909,0.128,1.28,0.133,1.542,0.426,1.761,0.19,3.202,0.214,3.332,0.243,3.521,1.085,0.488,1.395
1652,8.969172,-43.1847,1342.06,1898.32,2.337,0,0.0,1.873,0,1.602,0.394,1.164,0.083,1.201,0.057,1.223,0.092,1.149,0.082,1.008,0.128,1.132,0.134,1.312,0.432,1.984,0.191,1.106,0.291,0.946,0.334,-0.244,1.515,5.182,1.892
1653,8.984337,-43.184647,1143.02,1899.22,1.679,0,0.0,1.523,0,0.915,0.438,-0.002,0.083,0.05,0.057,-0.007,0.092,0.101,0.078,0.054,0.128,0.061,0.132,0.432,0.428,0.342,0.21,3.294,0.554,3.035,0.631,2.175,2.884,2.083,3.583
1654,9.034741,-43.184914,481.49,1894.0,60.96,0,0.03,2.968,0,28.188,0.598,1.227,0.154,1.392,0.085,2.521,0.143,3.049,0.101,6.263,0.172,9.253,0.155,11.543,0.421,14.051,0.271,30.182,0.272,24.76,0.312,15.175,1.352,16.321,1.69
1655,9.061865,-43.18502,125.49,1891.69,61.604,0,0.02,4.985,1,20.318,0.6,2.674,0.167,4.334,0.09,9.023,0.159,10.133,0.164,13.616,0.226,15.917,0.171,15.335,0.424,16.379,0.271,8.49,0.275,7.567,0.262,-1.191,2.263,1.521,1.273
1656,8.989214,-43.184803,1079.01,1896.35,5.383,0,0.01,1.471,0,3.1,0.426,0.129,0.083,0.453,0.057,0.659,0.092,0.709,0.078,0.773,0.128,0.909,0.132,0.291,0.43,2.449,0.216,5.646,0.261,5.979,0.297,5.002,1.336,4.051,1.729
1657,8.869757,-43.184963,2646.85,1892.97,34.978,0,0.03,2.076,1,18.859,0.528,0.414,0.096,0.536,0.074,0.955,0.112,1.418,0.096,3.125,0.155,4.702,0.138,-999.0,9999.0,7.829,0.281,21.986,0.292,20.678,0.329,9.879,1.474,15.464,1.874
1658,8.934067,-43.185104,1802.8,1890.96,35.276,0,0.02,2.784,0,16.904,0.441,1.86,0.083,2.063,0.057,2.528,0.092,3.213,0.078,5.686,0.128,7.469,0.146,9.406,0.423,9.945,0.218,16.398,0.282,14.354,0.322,8.369,1.405,5.158,1.826
1659,8.848411,-43.185207,2927.01,1888.27,825.093,2,0.98,1.167,1,491.375,0.758,2.501,0.166,12.136,0.09,44.406,0.161,100.603,0.137,307.473,0.218,385.753,0.511,-999.0,9999.0,524.99,0.488,199.79,0.334,139.112,0.334,95.467,2.768,42.78,2.655
1660,8.848991,-43.185944,2919.37,1874.97,1194.294,2,0.98,1.145,1,702.498,0.781,4.118,0.166,20.468,0.09,71.483,0.161,164.515,0.137,447.741,0.218,563.335,0.587,-999.0,9999.0,753.411,0.47,273.973,0.349,186.556,0.355,116.495,2.861,76.663,2.823
1661,8.951983,-43.184967,1567.65,1893.46,4.652,0,0.0,1.782,0,2.459,0.394,0.369,0.083,0.457,0.057,0.97,0.092,1.399,0.078,1.645,0.128,1.992,0.132,1.936,0.424,1.998,0.193,1.51,0.314,0.717,0.372,2.239,1.514,3.886,1.966
1662,9.015829,-43.184937,729.7,1893.78,6.032,0,0.01,1.663,0,5.228,0.424,0.469,0.096,0.816,0.074,0.814,0.111,1.102,0.095,2.485,0.157,2.921,0.138,2.867,0.659,4.048,0.199,6.128,0.13,5.124,0.149,3.117,0.654,1.894,0.819
1663,8.904836,-43.185101,2186.45,1890.85,4.636,0,0.0,1.988,0,3.177,0.42,0.573,0.083,0.656,0.057,1.168,0.092,1.687,0.078,2.069,0.128,2.175,0.132,2.841,0.426,2.522,0.208,1.942,0.138,1.698,0.158,1.616,0.714,2.967,0.939
1664,8.988205,-43.185204,1092.27,1889.13,4.891,0,0.0,1.701,0,2.802,0.433,0.491,0.083,0.775,0.057,0.943,0.092,0.97,0.079,1.278,0.128,1.124,0.13,1.852,0.435,2.173,0.219,3.2,0.355,3.493,0.405,3.637,1.811,0.982,2.386
1665,9.025073,-43.18515,608.38,1889.82,1.695,0,0.01,1.345,0,1.722,0.506,0.205,0.096,0.273,0.074,0.556,0.111,0.573,0.095,0.535,0.158,0.842,0.13,0.896,0.501,1.268,0.23,2.265,0.312,3.004,0.353,7.406,1.574,-2.071,2.005
1666,8.878056,-43.185402,2537.93,1885.17,21.22,0,0.02,2.541,1,10.57,0.533,0.813,0.096,1.09,0.074,1.572,0.112,2.02,0.096,4.148,0.155,5.076,0.135,-999.0,9999.0,6.917,0.284,8.845,0.242,6.972,0.279,7.946,1.234,4.461,1.566
