id,ra,dec,xpix,ypix,FOURSTARKs_tot,K_flag,K_star,K_fluxrad,totmask,FOURSTARKs,eFOURSTARKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2
112,31.371727,-58.560547,2132.12,102.56,6.266,0,0.01,2.238,1,3.809,0.587,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.81,0.578,2.21,0.439,-999.0,9999.0,-0.172,1.16
113,31.458939,-58.560261,1313.3,107.99,5.681,2,0.41,2.715,1,3.988,0.579,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.07,0.587,3.123,0.443,-999.0,9999.0,3.724,0.418
114,31.485683,-58.560246,1062.19,108.11,4.093,0,0.05,2.173,1,2.615,0.574,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.633,0.567,2.402,0.442,-999.0,9999.0,0.592,0.258
115,31.541441,-58.551945,538.47,256.99,18005.652,0,1.0,2.133,1,10116.61,0.566,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,9412.225,0.694,9119.826,0.451,-999.0,9999.0,2582.998,15.06
116,31.594498,-58.559101,40.51,127.21,32.006,0,0.02,3.388,1,15.402,0.567,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,9.975,0.562,9.428,0.427,-999.0,9999.0,5.235,1.365
117,31.387047,-58.560001,1988.28,112.5,6.647,0,0.32,2.414,1,3.74,0.589,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.479,0.581,3.066,0.442,-999.0,9999.0,4.275,0.997
118,31.5648,-58.560081,319.38,110.16,3.023,0,0.49,2.327,1,2.073,0.573,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.091,0.565,2.179,0.427,-999.0,9999.0,1.07,0.281
119,31.48205,-58.557579,1096.27,156.17,526.082,0,0.03,3.15,1,251.076,0.583,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,115.255,0.569,152.556,0.442,-999.0,9999.0,242.308,3.89
120,31.563944,-58.559483,327.39,120.95,12.312,0,0.85,1.911,1,7.424,0.567,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,6.829,0.571,8.825,0.438,-999.0,9999.0,3.88,0.631
121,31.36948,-58.558918,2153.24,131.83,36.996,0,0.01,3.241,1,17.853,0.587,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,8.749,0.573,12.591,0.437,-999.0,9999.0,-999.0,9999.0
