col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
627,-1.0,2.646,2.64,4.586125,2.646,4.586125,2.564,0.968,2.569,2.717,0.176,2.763,0.045,2.804,11,1.63466,2.6454,0.962,2.518
628,-1.0,0.257,0.251,10.82532,0.257,10.82532,0.253,1.0,0.224,0.281,0.201,0.297,0.18,0.306,11,0.169609,0.2526,1.0,0.2247
629,-1.0,1.068,1.049,1.995238,1.068,1.995238,1.033,1.0,0.903,1.159,0.801,1.275,0.72,1.393,11,0.184384,1.0326,0.999,0.996
630,-1.0,0.799,0.848,5.027038,0.799,5.027038,0.83,1.0,0.747,0.916,0.671,1.04,0.618,1.117,11,0.333394,0.8303,1.0,1.0938
631,-1.0,0.967,0.937,2.021005,0.928,2.046992,0.924,1.0,0.811,1.034,0.72,1.117,0.586,1.233,11,0.165663,0.9237,1.0,1.0178
632,-1.0,0.072,0.353,3.229693,0.431,4.786159,0.353,0.943,0.17,0.492,0.052,0.586,0.017,2.828,11,2.4798,0.349,0.998,0.4055
633,-1.0,0.105,0.105,2236.609,0.105,2236.609,0.105,1.0,0.092,0.118,0.089,0.121,0.088,0.121,11,9.20267,0.1046,0.498,0.1128
634,-1.0,4.996,4.972,150.311,4.996,150.311,4.941,1.0,4.811,5.07,4.746,5.137,4.694,5.269,11,10.9667,4.9411,0.999,4.8942
635,-1.0,0.138,0.276,54.45085,0.149,54.49627,0.38,0.848,0.131,0.663,0.097,0.762,0.059,0.833,11,6.22277,0.1504,0.525,0.1077
636,-1.0,1.088,0.971,3.524759,1.088,3.524759,0.954,1.0,0.819,1.103,0.753,1.18,0.677,1.266,11,0.330425,0.9539,1.0,1.0559
637,-1.0,0.22,0.221,6.745874,0.22,6.745874,0.222,1.0,0.195,0.248,0.176,0.27,0.158,0.287,11,0.108532,0.2215,1.0,0.2398
638,-1.0,0.161,0.88,4.347202,0.729,4.861373,0.851,0.659,0.435,1.284,0.139,2.053,0.085,2.476,11,2.52145,0.8495,0.999,0.9361
639,-1.0,0.948,0.979,3.608109,0.948,3.608109,0.966,1.0,0.917,1.018,0.894,1.089,0.881,1.145,11,0.133917,0.9662,1.0,0.9516
640,-1.0,1.088,0.992,3.504269,1.088,3.504269,0.983,0.997,0.825,1.142,0.658,1.226,0.552,1.306,11,0.429386,0.9825,0.999,1.1738
641,-1.0,1.33,1.204,5.890132,1.33,5.890132,1.122,0.951,0.769,1.398,0.69,1.594,0.607,1.895,11,1.72871,1.1216,0.999,1.6607
642,-1.0,0.872,0.933,2.734606,0.872,2.734606,0.921,1.0,0.817,1.032,0.756,1.161,0.702,1.267,11,0.219285,0.9208,0.999,0.8359
643,-1.0,0.22,0.229,243.9443,0.232,243.9948,0.229,1.0,0.209,0.25,0.194,0.262,0.169,0.275,10,3.7118,0.2294,0.999,0.2249
644,-1.0,1.13,1.013,12.82195,1.109,12.88859,0.966,1.0,0.768,1.15,0.668,1.212,0.627,1.267,11,1.52339,0.9654,0.999,0.6762
645,-1.0,0.094,0.123,151.5069,0.094,151.5069,0.168,0.981,0.086,0.254,0.028,0.391,0.011,0.505,11,9.77063,0.1674,0.999,0.0758
646,-1.0,2.14,2.152,29.93567,2.14,29.93567,2.139,1.0,2.083,2.188,2.047,2.273,2.006,2.348,11,1.28085,2.1386,0.999,2.1062
647,-1.0,1.473,2.039,4.157627,1.449,4.186647,1.599,0.893,1.284,1.983,1.073,2.462,0.858,3.036,11,1.41579,1.5965,0.997,1.8007
648,-1.0,1.109,0.999,3.496,0.872,4.027983,0.97,1.0,0.792,1.154,0.721,1.243,0.655,1.314,11,0.508107,0.9698,1.0,1.1104
649,-1.0,0.348,0.344,2.744849,0.361,2.752686,0.346,1.0,0.302,0.39,0.275,0.42,0.23,0.457,11,0.0777897,0.3463,1.0,0.3981
650,-1.0,1.173,1.075,1.35376,1.152,1.380481,1.044,1.0,0.841,1.219,0.747,1.312,0.66,1.418,11,0.293419,1.0443,1.0,0.7603
651,-1.0,4.013,4.028,2092.73,4.013,2092.73,4.02,1.0,3.957,4.08,3.941,4.124,3.916,4.138,10,66.4212,4.0166,0.921,3.9718
652,-1.0,2.367,2.288,4.397756,2.018,5.223746,2.034,0.993,1.819,2.276,1.573,2.511,1.375,2.761,11,0.865261,2.0337,0.998,2.0636
653,-1.0,0.763,0.722,58.32086,0.763,58.32086,0.758,0.988,0.74,0.792,0.721,0.808,0.019,0.828,11,5.97169,0.766,0.986,0.7848
654,-1.0,0.645,0.666,6.737019,0.645,6.737019,0.663,1.0,0.624,0.703,0.605,0.739,0.589,0.781,11,0.166773,0.6628,0.999,0.6202
655,-1.0,2.503,2.451,4.511871,2.469,4.623913,2.428,0.999,2.322,2.536,2.211,2.606,2.041,2.677,11,0.399133,2.4305,0.998,2.5441
656,-1.0,2.909,2.896,1201.003,2.909,1201.003,2.887,1.0,2.823,2.95,2.771,2.967,2.701,3.026,10,56.033,2.8871,0.997,2.894
657,-1.0,0.781,0.864,5.193549,0.781,5.193549,0.839,0.972,0.676,1.009,0.569,1.241,0.208,1.767,11,1.0835,0.8398,0.996,0.6824
658,-1.0,1.988,1.866,1.470833,1.988,1.470833,1.523,0.698,0.92,1.982,0.729,2.201,0.245,2.571,5,8.6191,1.5213,0.997,1.6846
659,-1.0,0.348,0.343,658.6356,0.348,658.6356,0.343,1.0,0.324,0.362,0.307,0.368,0.295,0.38,11,7.02923,0.3424,0.987,0.3309
660,-1.0,0.105,0.104,763.7584,0.105,763.7584,0.104,1.0,0.091,0.117,0.084,0.121,0.078,0.121,11,4.13902,0.103,0.538,0.1042
661,-1.0,0.389,0.378,4.028722,0.389,4.028722,0.379,1.0,0.343,0.416,0.311,0.444,0.28,0.468,11,0.0961472,0.3793,1.0,0.3863
662,-1.0,1.068,1.053,6.135523,1.068,6.135523,1.03,1.0,0.911,1.139,0.839,1.21,0.758,1.267,11,0.430205,1.0295,0.999,1.0644
