PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,UMINB,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
131,1.368,0.579,0.797,0.583,1.231,0.809,0.844,0.649,0,0,0
132,1.368,0.683,1.749,1.47,1.426,0.679,1.824,1.395,0,0,0
133,1.368,0.745,1.688,1.153,1.067,0.771,1.282,1.644,0,0,0
134,1.368,0.647,0.866,0.641,1.111,0.809,1.097,0.809,0,0,0
135,1.368,0.706,0.83,0.477,0.345,0.719,1.198,1.169,0,0,0
136,1.368,0,0,0,-1,0,0,0,0,0,0
137,1.368,0.688,0.809,0.725,0.851,0.727,1.206,0.921,0,0,0
138,1.368,0.765,1.23,0.99,0.957,0.791,1.318,1.353,0,0,0
139,1.368,0.845,0.771,0.441,0.362,0.779,1.317,1.093,0,0,0
140,1.368,0.677,0.919,0.538,0.737,0.821,1.372,1.132,0,0,0
141,1.368,0.783,1.847,1.206,1.254,0.79,1.644,1.379,0,0,0
142,1.368,0.463,0.475,-0.06,0.281,0.724,1.349,0.532,0,0,0
143,1.368,0.695,1.677,1.214,1.256,0.706,1.464,1.478,0,0,0
144,1.368,0.566,0.791,0.692,1.172,0.814,0.886,0.801,0,0,0
145,1.368,0.671,1.132,0.962,0.914,0.699,1.166,1.393,0,0,0
146,1.368,0.709,0.75,0.722,1.168,0.73,0.976,0.778,0,0,0
147,1.368,0.482,0.493,0.273,0.917,0.769,1.278,0.36,0,0,0
148,1.368,0.288,0.828,0.874,0.776,0.395,0.604,1.457,0,0,0
149,1.368,0.702,1.167,0.92,1.306,0.709,1.178,0.966,0,0,0
150,1.368,0.68,1.006,0.768,0.753,0.724,1.202,1.197,0,0,0
151,1.368,0.802,1.192,1.049,1.905,0.513,0.78,0.816,0,0,0
152,1.368,0.679,1.161,0.936,0.378,0.742,1.233,1.85,0,0,0
153,1.368,0.702,0.786,0.452,0.485,0.768,1.278,1.206,0,0,0
154,1.368,0.737,0.916,0.683,0.724,0.794,1.325,1.098,0,0,0
155,1.368,0.467,0.42,0.456,1.15,0.721,0.548,0.424,0,0,0
156,1.368,1.179,0.386,-0.06,0.026,0.303,1.841,1.462,0,0,0
157,1.368,0.493,0.599,0.272,0.712,0.808,1.35,0.571,0,0,0
158,1.368,0.757,1.036,0.832,1.016,0.785,1.306,1.104,0,0,0
159,1.368,0.95,2.144,1.249,1.594,1.054,1.793,1.068,0,0,0
160,1.368,0.564,0.455,-0.059,0.255,0.559,1.249,0.475,0,0,0
161,1.368,1.2,2.283,1.298,1.678,1.435,2.341,1.247,0,0,0
162,1.368,0.683,1.523,1.171,0.782,0.725,1.204,1.877,0,0,0
163,1.368,0.706,0.795,0.571,0.709,0.751,1.248,0.914,0,0,0
164,1.368,0.675,1.053,0.827,0.845,0.703,1.173,1.176,0,0,0
