PHOTCATID,spec_z,source,quality,distance/arcsec,altspec_z,altdistance/arcsec,altsource,altquality,GOGREENSPECID
559,-99,0,0,0,-98,0,0,-97,0
560,-99,0,0,0,-98,0,0,-97,0
561,1.406,1,3,0.071,-98,0,0,-97,654
562,-99,0,0,0,-98,0,0,-97,0
563,-99,0,0,0,-98,0,0,-97,0
564,-99,0,0,0,-98,0,0,-97,0
565,-99,0,0,0,-98,0,0,-97,0
566,-99,0,0,0,-98,0,0,-97,0
567,-99,0,0,0,-98,0,0,-97,0
568,-99,0,0,0,-98,0,0,-97,0
569,-99,0,0,0,-98,0,0,-97,0
570,-99,0,0,0,-98,0,0,-97,0
571,-99,0,0,0,-98,0,0,-97,0
572,-99,0,0,0,-98,0,0,-97,0
573,-99,0,0,0,-98,0,0,-97,0
574,-99,0,0,0,-98,0,0,-97,0
575,-99,0,0,0,-98,0,0,-97,0
576,-99,0,0,0,-98,0,0,-97,0
577,-99,0,0,0,-98,0,0,-97,0
578,-99,0,0,0,-98,0,0,-97,0
579,-99,0,0,0,-98,0,0,-97,0
580,-99,0,0,0,-98,0,0,-97,0
581,-99,0,0,0,-98,0,0,-97,0
582,-99,0,0,0,-98,0,0,-97,0
583,-99,0,0,0,-98,0,0,-97,0
584,-99,0,0,0,-98,0,0,-97,0
585,-99,0,0,0,-98,0,0,-97,0
586,-99,0,0,0,-98,0,0,-97,0
587,-99,0,0,0,-98,0,0,-97,0
588,-99,0,0,0,-98,0,0,-97,0
589,-99,0,0,0,-98,0,0,-97,0
590,-99,0,0,0,-98,0,0,-97,0
591,-99,0,0,0,-98,0,0,-97,0
592,-99,0,0,0,-98,0,0,-97,0
593,-99,0,0,0,-98,0,0,-97,0
594,-99,0,0,0,-98,0,0,-97,0
595,-99,0,0,0,-98,0,0,-97,0
596,-99,0,0,0,-98,0,0,-97,0
597,-99,0,0,0,-98,0,0,-97,0
598,-99,0,0,0,-98,0,0,-97,0
599,-99,0,0,0,-98,0,0,-97,0
