PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,U_B,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
4730,1.335,0.302,0.337,-0.051,0.275,0.636,0.928,0.567,0,0,0
4731,1.335,0.451,0.597,0.425,0.899,0.379,0.603,0.813,0,0,0
4732,1.335,0.327,0.494,0.377,2.13,0.357,0.478,0.326,0,0,0
4733,1.335,0.696,0.989,0.57,1.275,0.71,1.041,0.619,0,0,0
4734,1.335,0.381,0.465,0.345,1.138,0.377,0.488,0.341,0,0,0
4735,1.335,0.348,0.459,0.59,0.441,0.517,0.681,1.079,0,0,0
4736,1.335,0.52,0.682,0.76,0.714,0.659,0.927,0.897,0,0,0
4737,1.335,0.312,0.354,-0.054,0.277,0.85,1.241,0.605,0,0,0
4738,1.335,0.282,0.369,0.154,1.33,0.282,0.369,0.154,0,0,0
4739,1.335,0.212,0.178,-0.06,0.121,0.479,0.714,0.288,0,0,0
4740,1.335,1.279,2.125,0.841,1.497,1.139,1.837,0.718,0,0,0
4741,1.335,0.225,0.247,0.578,2.648,0.446,0.565,0.032,0,0,0
4742,1.335,0.595,0.793,0.235,0.262,0.985,1.703,1.277,0,0,0
4743,1.335,0.443,0.589,0.434,1.045,0.416,0.65,0.663,0,0,0
4744,1.335,0.301,0.333,-0.059,0.494,0.573,0.803,0.427,0,0,0
4745,1.335,0.454,0.58,-0.06,0.048,1.437,2.337,1.256,0,0,0
4746,1.335,0.398,0.514,0.117,1.305,0.399,0.527,0.132,0,0,0
4747,1.335,0.429,0.542,0.184,0.533,0.628,0.909,0.694,0,0,0
4748,1.335,0.328,0.381,0.218,0.155,0.212,0.815,0.807,0,0,0
4749,1.335,0.212,0.178,-0.061,1.289,0.212,0.178,-0.061,0,0,0
4750,1.335,0.462,0.594,0.551,0.174,0.226,1.222,1.305,0,0,0
4751,1.335,0.971,1.525,1.405,1.811,0.805,1.302,1.235,0,0,0
4752,1.335,0.446,0.569,-0.05,0.331,0.874,1.351,0.818,0,0,0
4753,1.335,1.377,1.351,0.121,0.257,0.837,1.42,0.928,0,0,0
4754,1.335,0.371,0.59,0.129,1.587,0.357,0.442,0.093,0,0,0
4755,1.335,0.214,0.18,-0.06,0.357,0.481,0.629,0.336,0,0,0
4756,1.335,0.504,0.657,-0.024,0.559,0.595,0.852,0.693,0,0,0
4757,1.335,0.213,0.18,0.363,1.699,0.212,0.184,0.599,0,0,0
