id,ra,dec,xpix,ypix,FOURSTARKs_tot,K_flag,K_star,K_fluxrad,totmask,FOURSTARKs,eFOURSTARKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1127,35.002548,-5.552169,229.41,1009.58,12.118,3,0.06,3.136,0,8.179,0.666,0.091,0.164,0.114,0.122,0.04,0.235,0.314,0.21,0.499,0.303,1.426,0.758,1.56,0.47,3.019,0.508,8.398,0.253,9.645,0.296,12.534,3.7,8.751,3.452
1128,35.002197,-5.552617,235.74,1001.53,41.119,2,0.01,3.699,0,23.103,0.668,1.55,0.164,2.003,0.122,3.192,0.235,5.106,0.21,9.923,0.303,10.892,0.759,12.287,0.475,14.907,0.508,21.909,0.402,19.618,0.469,27.59,6.055,10.365,5.534
1129,34.955143,-5.552584,1078.7,1002.19,343.751,0,0.04,3.262,0,204.121,0.662,0.982,0.094,3.987,0.077,14.411,0.138,39.138,0.123,74.116,0.175,82.793,0.436,97.204,0.469,115.387,0.515,112.997,0.963,84.078,1.282,56.506,6.71,40.727,6.617
1130,34.94574,-5.552653,1247.2,1000.94,384.102,0,0.98,2.023,0,296.62,0.664,3.634,0.095,17.29,0.077,56.669,0.138,103.973,0.123,233.996,0.175,264.288,0.436,309.927,0.464,322.529,0.508,110.67,0.855,66.54,1.419,34.431,6.267,18.854,6.425
1131,35.013042,-5.552377,41.41,1005.81,3.871,0,0.47,2.519,1,3.795,0.663,-999.0,9999.0,-0.697,0.128,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,2.053,0.463,2.92,0.511,3.394,0.327,4.021,0.362,-2.946,5.399,-8.779,4.162
1132,34.909645,-5.552216,1893.86,1008.8,16.552,3,0.22,2.113,0,14.744,0.663,10.588,0.095,19.356,0.077,27.876,0.138,30.33,0.123,30.5,0.175,30.939,0.436,28.709,0.466,25.632,0.52,2.724,0.344,2.725,1.042,-2.317,4.563,3.229,4.276
1133,34.952541,-5.553071,1125.33,993.42,228.368,0,0.03,3.528,0,127.461,0.666,0.583,0.095,2.236,0.077,8.276,0.138,21.582,0.123,43.39,0.175,49.488,0.436,60.057,0.473,72.404,0.508,71.722,0.879,50.377,1.293,22.285,6.536,41.21,6.288
1134,34.897636,-5.552588,2109.0,1002.09,6.188,0,0.02,2.919,0,4.545,0.664,0.98,0.094,1.342,0.077,2.81,0.138,3.369,0.123,3.796,0.175,3.736,0.435,3.792,0.465,3.217,0.512,2.024,0.519,0.336,1.439,16.056,8.698,-6.825,7.428
1135,34.936539,-5.553133,1412.05,992.3,18.196,0,0.01,2.698,0,13.254,0.665,1.326,0.095,1.81,0.077,2.723,0.138,4.846,0.127,7.081,0.175,6.975,0.437,8.86,0.474,8.37,0.514,6.288,0.982,2.523,1.297,10.952,6.205,4.186,6.12
1136,35.013454,-5.552995,34.06,994.69,6.322,0,0.31,2.692,1,4.919,0.663,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.421,0.469,1.54,0.535,8.356,0.415,11.984,0.456,5.856,6.509,-3.922,5.389
1137,34.880718,-5.553207,2412.06,990.93,120.81,1,0.73,11.783,1,-999.0,9999.0,0.382,0.116,0.694,0.099,0.674,0.17,0.986,0.141,0.881,0.215,1.457,0.533,-999.0,9999.0,-999.0,9999.0,0.02,0.006,-0.005,0.013,-0.496,0.097,0.003,0.092
1138,34.883175,-5.553425,2368.05,987.0,72.733,0,0.67,6.293,1,19.763,2.197,1.758,0.133,2.029,0.099,2.358,0.17,2.759,0.14,4.238,0.214,5.425,0.533,8.329,1.451,-999.0,9999.0,7.673,0.375,3.517,0.816,2.234,6.49,7.742,5.504
1139,34.927536,-5.553677,1573.31,982.52,285.812,0,0.99,2.053,0,221.243,0.666,1.095,0.095,5.962,0.077,24.11,0.138,46.999,0.13,156.391,0.175,184.744,0.437,228.968,0.473,246.52,0.509,90.586,0.939,62.846,1.513,36.633,6.844,17.759,6.666
1140,34.966595,-5.553512,873.54,985.46,30.591,0,0.02,2.751,0,22.155,0.667,0.273,0.095,0.294,0.077,0.449,0.138,0.92,0.123,2.233,0.175,2.881,0.436,4.915,0.469,6.106,0.508,42.439,0.863,47.354,1.342,37.991,6.201,38.027,6.47
1141,34.923763,-5.553427,1640.87,987.02,6.629,0,0.7,2.298,0,5.314,0.665,0.104,0.095,0.226,0.077,0.184,0.138,0.407,0.123,0.544,0.175,0.446,0.436,1.079,0.472,1.57,0.516,5.441,0.977,6.395,1.527,-5.576,6.316,18.631,7.204
1142,34.980446,-5.553689,625.39,982.27,30.288,0,0.05,2.9,0,21.778,0.967,1.161,0.116,1.53,0.106,2.099,0.169,3.273,0.148,8.339,0.216,9.424,0.533,10.511,0.77,13.596,0.665,24.342,0.904,15.745,1.232,26.894,5.531,32.087,5.41
1143,35.009396,-5.55373,106.77,981.48,12.659,0,0.2,3.81,0,7.268,0.663,1.612,0.164,1.714,0.122,1.822,0.235,2.136,0.258,3.155,0.303,4.29,0.758,5.51,0.471,5.484,0.508,5.715,0.426,3.743,0.478,-0.184,5.806,-16.295,4.957
1144,34.926388,-5.554009,1593.87,976.54,57.508,0,0.03,2.703,0,39.827,0.665,0.25,0.095,0.803,0.077,3.194,0.138,7.757,0.124,14.075,0.175,16.062,0.436,19.211,0.478,22.404,0.521,20.395,0.813,15.502,1.31,12.712,5.935,-4.927,6.419
1145,34.929543,-5.553988,1537.39,976.91,13.918,0,0.01,2.709,0,10.051,0.663,0.414,0.094,0.575,0.077,1.093,0.138,1.385,0.127,1.636,0.175,1.148,0.436,1.952,0.469,2.413,0.517,11.279,0.983,8.263,1.295,8.148,5.967,19.997,6.002
1146,34.896866,-5.553872,2122.76,978.98,3.691,0,0.28,1.676,0,3.376,0.666,1.241,0.095,1.454,0.077,1.365,0.138,1.467,0.129,1.871,0.175,2.418,0.436,2.663,0.473,2.691,0.51,3.526,0.696,3.528,1.969,2.376,10.204,-4.2,9.203
1147,34.880692,-5.553897,2412.54,978.52,100.605,1,0.8,10.395,1,-999.0,9999.0,-0.04,0.116,0.094,0.099,-0.195,0.171,0.005,0.142,-0.096,0.215,0.303,0.534,-999.0,9999.0,-999.0,9999.0,0.01,0.007,0.008,0.015,-0.201,0.108,-0.091,0.102
