PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,UMINB,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
328,1.32,1.273,2.123,1.054,1.601,0.981,1.709,0.85,0,0,0
329,1.32,0.212,0.178,-0.06,0.071,0.721,1.091,0.474,0,0,0
330,1.32,0,0,0,-1,0,0,0,0,0,0
331,1.32,0.798,1.547,1.247,0.597,0.212,0.409,1.915,0,0,0
332,1.32,0.501,0.642,-0.031,0.779,0.468,0.684,0.245,0,0,0
333,1.32,0.213,0.178,0.283,0.366,0.442,0.656,0.326,0,0,0
334,1.32,0.33,0.377,0.019,0.634,0.461,0.615,0.258,0,0,0
335,1.32,0.498,0.829,0.431,1.63,0.464,0.636,0.434,0,0,0
336,1.32,0.874,1.347,1.213,1.173,0.966,1.585,1.234,0,0,0
337,1.32,0.279,0.275,-0.055,0.493,0.575,0.754,0.051,0,0,0
338,1.32,0.501,0.651,0.283,0.873,0.542,0.716,0.34,0,0,0
339,1.32,0.419,0.632,0.454,1.503,0.415,0.559,0.584,0,0,0
340,1.32,0.597,0.809,0.916,1.003,0.619,1.05,0.824,0,0,0
341,1.32,0.801,1.321,1.668,0.879,0.974,1.531,1.789,0,0,0
342,1.32,0.61,0.815,1.234,0.559,0.877,1.374,1.171,0,0,0
343,1.32,0.314,0.381,0.207,1.062,0.31,0.446,0.304,0,0,0
344,1.32,0,0,0,-1,0,0,0,0,0,0
345,1.32,0.312,0.456,0.582,2.173,0.435,0.446,0.06,0,0,0
346,1.32,0.51,0.782,1.647,2.593,0.573,0.948,1.885,0,0,0
347,1.32,0.609,0.814,0.794,0.573,0.867,1.379,1.108,0,0,0
348,1.32,0,0,0,-1,0,0,0,0,0,0
349,1.32,0.487,0.64,1.391,2.806,0.648,1.093,0.353,0,0,0
350,1.32,0,0,0,-1,0,0,0,0,0,0
351,1.32,0.657,0.909,1.377,1.051,0.712,0.999,1.463,0,0,0
352,1.32,0,0,0,-1,0,0,0,0,0,0
353,1.32,1.252,2.099,1.112,1.145,1.216,2.049,1.246,0,0,0
354,1.32,0.571,0.762,0.77,0.752,0.689,1.025,0.989,0,0,0
355,1.32,1.062,1.81,1.203,1.565,0.85,1.552,1.14,0,0,0
356,1.32,0.491,0.635,0.229,1.061,0.465,0.675,0.296,0,0,0
357,1.32,0.269,0.288,0.303,0.752,0.252,0.233,0.402,0,0,0
358,1.32,0.82,1.371,1.82,1.181,0.981,1.526,1.769,0,0,0
359,1.32,0.323,0.462,1,1.361,0.311,0.465,0.997,0,0,0
360,1.32,0.72,1.077,1.07,0.677,1.146,1.75,1.115,0,0,0
361,1.32,0.66,0.892,0.307,0.447,0.972,1.677,1.141,0,0,0
362,1.32,0.518,0.682,0.616,1.556,0.502,0.667,0.928,0,0,0
363,1.32,0.478,0.714,1.648,1.659,0.45,0.994,1.374,0,0,0
364,1.32,0.897,1.328,-0.043,5.245,0.212,0.177,-0.06,0,0,0
365,1.32,0.658,1.224,1.246,0.246,0.834,1.284,1.915,0,0,0
366,1.32,0.671,1.411,0.372,-1,0,0,0,0,0,0
367,1.32,0.214,0.182,0.111,0.074,0.826,1.312,0.589,0,0,0
368,1.32,0.212,0.178,0.64,0.367,0.316,0.347,0.654,0,0,0
369,1.32,0.965,1.428,1.875,2.087,0.925,1.474,1.914,0,0,0
370,1.32,0.671,0.913,0.403,0.854,0.829,1.223,0.586,0,0,0
371,1.32,0.526,0.694,0.522,1.276,0.532,0.724,0.49,0,0,0
372,1.32,0.452,0.577,0.762,0.784,0.539,0.737,0.639,0,0,0
373,1.32,0.398,0.504,1.006,3.322,0.393,0.485,0.523,0,0,0
374,1.32,0.892,1.454,1.058,0.984,1.166,1.891,1.192,0,0,0
375,1.32,0,0,0,-1,0,0,0,0,0,0
376,1.32,0.709,1.018,1.223,0.52,1.003,1.655,1.873,0,0,0
377,1.32,0.724,1.232,1.712,1.412,0.722,1.227,1.736,0,0,0
378,1.32,0.313,0.359,0.649,0.986,0.33,0.372,0.473,0,0,0
379,1.32,0.213,0.257,0.923,1.258,0.213,0.213,1.048,0,0,0
380,1.32,0.662,0.955,1.613,0.727,0.824,1.195,1.735,0,0,0
381,1.32,0.621,0.841,1.907,1.457,0.608,0.963,1.909,0,0,0
382,1.32,0.443,0.565,0.523,0.374,0.688,1.13,0.977,0,0,0
383,1.32,0.798,1.366,1.898,1.582,0.818,1.412,1.516,0,0,0
384,1.32,0.341,0.4,0.385,0.609,0.545,0.755,0.427,0,0,0
385,1.32,0.461,0.592,0.295,0.382,0.894,1.306,0.761,0,0,0
386,1.32,0.212,0.178,-0.059,0.073,0.737,1.097,0.503,0,0,0
387,1.32,0.666,1.099,1.682,1.26,0.711,1.133,1.641,0,0,0
388,1.32,0.768,1.211,1.024,0.662,1.212,1.871,1.239,0,0,0
389,1.32,0.508,0.664,0.61,0.647,0.687,1.039,0.748,0,0,0
390,1.32,0.333,0.468,0.605,0.497,0.717,1.089,0.838,0,0,0
391,1.32,0.646,0.866,1.286,0.328,0.642,1.09,1.901,0,0,0
392,1.32,0.212,0.177,-0.061,-1,0,0,0,0,0,0
393,1.32,0.809,1.373,-0.061,-1,0,0,0,0,0,0
394,1.32,0.817,1.354,0.473,-1,0,0,0,0,0,0
395,1.32,1.15,1.912,1.179,-1,0,0,0,0,0,0
396,1.32,0.212,0.177,1.247,-1,0,0,0,0,0,0
397,1.32,1.315,2.18,1.264,-1,0,0,0,0,0,0
398,1.32,0.978,1.466,-0.056,3.045,0.641,0.858,0.476,0,0,0
399,1.32,0.561,0.742,-0.061,-1,0,0,0,0,0,0
400,1.32,0.655,0.878,-0.056,2.935,0.361,0.442,0.49,0,0,0
